Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
5	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.498652823751177	-1.788604187830502	2.769775889098499	-0.0409084818020836	-0.007820879112069414	0.9008	0.06418671777145156
6	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5064554940966209	-1.727550071503265	2.681405042296457	-0.023274626606567272	2.6222677713456278e-05	0.8382	0.06595557418328006
7	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.4783848591035929	-1.750929750321526	2.6467985525756004	0.0014430119662964132	0.0019921607493744975	0.8611	0.08420062825737938
8	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5126540764253963	-1.7658498908266276	2.7226337454505973	-0.011948306337722536	0.0039829318520752215	0.8407	0.07115167319334412
9	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.4888308089009559	-1.738570058246886	2.6136196545043235	0.014974554018868024	0.01086682309419192	0.8609	0.0924423167283026
10	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.47560174668604155	-1.7139095595780558	2.689097494406549	0.015565096910509238	0.008487078646570155	0.8738	0.068424610640824
11	isolated_galaxies/m1_fg0.3/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5168989609253102	-1.769394341664447	2.732424966689752	0.03701515945054266	0.006868291157379481	0.9217	0.07984576535165176
12	isolated_galaxies/m1_fg0.3/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.520154604100282	-1.7495774970001423	2.708577203023792	0.07470533807811765	0.022076890500501295	0.9484	0.1210913160653139
13	isolated_galaxies/m1_fg0.3/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.524154572977662	-1.8290020378041607	2.891875902041015	0.0670055048384192	0.015867696954819373	1.3722	0.12318773083558213
19	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.4825736154377324	-1.7479159372955386	2.7803964069000586	-0.04184118004405976	-0.006579851301134352	0.85	0.05925960404198362
