Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
4	fg1_m13_iso1_rotated	0	0.05	4	68.96	0.11	0.05	6.02	0.27	0.03	13.87	17.3	0.0	0.48	764	14.18	-5.8	18.51	-0.03	-0.89	56.47	12.18	-0.15	0.8	0.03	0.15	-1.18
5	fg1_m13_iso1_rotated	0	0.05	5	74.33	0.09	0.04	5.78	0.26	0.03	15.36	20.25	0.3	0.77	764	13.79	-1.65	18.5	-0.05	-0.86	56.88	12.73	-0.78	1.88	0.05	0.78	-0.11
6	fg1_m13_iso1_rotated	0	0.05	6	80.65	0.08	0.03	4.86	0.25	0.01	12.9	17.68	0.0	0.21	764	13.78	-3.17	17.89	-0.02	-0.93	57.19	11.94	-0.38	1.01	0.02	0.38	-1.16
10	fg1_m13_iso1_rotated	0	0.1	4	82.37	0.08	0.04	5.67	0.27	0.05	8.24	10.54	0.3	0.48	764	14.35	-4.24	18.85	-0.02	-0.96	57.88	11.91	-0.28	1.62	0.02	0.28	-0.27
11	fg1_m13_iso1_rotated	0	0.1	5	74.5	0.09	0.03	5.44	0.25	0.05	19.96	32.05	0.3	0.77	764	14.35	-3.1	18.18	-0.18	-0.89	57.66	11.89	-0.46	0.96	0.18	0.46	1.53
12	fg1_m13_iso1_rotated	0	0.1	6	80.91	0.07	0.04	5.32	0.28	0.07	12.63	17.22	0.3	0.21	1256	14.75	-5.22	20.89	0.08	-1.03	53.25	12.87	-0.06	-0.02	0.08	0.06	-1.95
16	fg1_m13_iso1_rotated	0	0.2	4	54.42	0.12	0.05	5.58	0.26	0.06	23.03	19.18	0.43	0.48	764	14.33	-1.26	18.58	-0.17	-0.78	55.8	12.74	-0.46	0.85	0.17	0.46	-0.64
17	fg1_m13_iso1_rotated	0	0.2	5	79.0	0.07	0.04	5.21	0.27	0.05	21.27	18.62	0.0	0.77	764	14.05	-3.02	18.83	-0.03	-1.01	56.58	11.91	-0.17	0.61	0.03	0.17	0.72
18	fg1_m13_iso1_rotated	0	0.2	6	84.06	0.12	0.04	7.09	0.27	0.03	14.18	9.05	0.3	1.3	764	14.07	-7.59	18.12	0.05	-0.91	56.47	12.33	-0.28	0.96	0.05	0.28	0.06
23	fg1_m13_iso1_rotated	0	0.29	4	59.44	0.1	0.03	5.23	0.25	0.02	31.74	46.13	0.43	0.64	764	13.85	-4.91	17.91	-0.0	-0.86	57.77	12.25	-0.47	2.23	0.0	0.47	1.45
24	fg1_m13_iso1_rotated	0	0.29	5	74.94	0.08	0.04	6.19	0.27	0.04	16.41	21.32	0.43	0.48	764	14.29	-3.89	18.6	-0.02	-0.85	56.69	11.02	-0.23	1.09	0.02	0.23	1.34
25	fg1_m13_iso1_rotated	0	0.29	6	86.71	0.07	0.04	4.73	0.25	0.01	21.42	34.12	0.3	0.77	764	13.75	-4.54	17.77	0.01	-0.88	57.0	11.56	-0.42	1.82	0.01	0.42	-0.43
30	fg1_m13_iso1_rotated	0	0.39	4	51.43	0.1	0.05	6.04	0.25	0.04	15.44	16.83	0.3	0.48	764	14.2	-1.67	17.68	-0.13	-0.98	56.58	11.89	-0.25	1.79	0.13	0.25	-0.14
31	fg1_m13_iso1_rotated	0	0.39	5	73.24	0.06	0.05	4.81	0.27	0.08	8.5	13.85	0.43	0.48	764	14.28	-4.86	18.17	0.1	-0.95	57.24	10.9	-0.21	0.88	0.1	0.21	0.4
32	fg1_m13_iso1_rotated	0	0.39	6	76.1	0.1	0.05	5.62	0.27	0.05	33.06	43.47	0.0	0.77	764	14.12	-2.24	18.98	-0.21	-0.96	56.84	11.01	-0.51	2.22	0.21	0.51	0.41
37	fg1_m13_iso1_rotated	0	0.49	4	18.52	0.22	0.06	6.58	0.27	0.06	18.44	22.15	0.3	0.21	764	14.05	-5.71	18.35	0.1	-0.96	55.7	11.93	-0.23	0.98	0.1	0.23	1.12
38	fg1_m13_iso1_rotated	0	0.49	5	77.4	0.09	0.04	5.27	0.27	0.05	22.95	34.47	0.3	0.64	764	14.06	-6.32	18.34	-0.07	-0.99	56.04	10.27	-0.01	1.09	0.07	0.01	0.35
