Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random	inclination
0	fg3_m12	1	1.81	2	71.38	0.04	0.05	24.48	0.55	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.04	0
1	fg3_m12	1	1.81	2	78.59	0.07	0.05	1.34	0.04	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.74	3
2	fg3_m12	1	1.81	2	73.77	0.06	0.05	1.73	0.06	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.03	4
3	fg3_m12	1	1.81	2	71.69	0.07	0.05	2.57	0.07	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.84	5
4	fg3_m12	1	1.81	2	71.38	0.04	0.05	108.22	0.08	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.6	6
5	fg3_m12	1	1.81	2	74.79	0.06	0.05	3.15	0.1	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-1.14	7
6	fg3_m12	1	1.81	2	71.69	0.05	0.06	3.29	0.11	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-1.27	8
7	fg3_m12	1	1.81	2	71.69	0.04	0.05	3.83	0.13	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.11	9
8	fg3_m12	1	1.81	2	71.1	0.04	0.05	4.13	0.14	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.42	10
9	fg3_m12	1	1.81	2	71.66	0.04	0.05	9.4	0.26	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.13	20
10	fg3_m12	1	1.81	2	71.35	0.04	0.05	13.89	0.36	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.3	30
11	fg3_m12	1	1.81	2	71.6	0.04	0.05	19.09	0.44	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-1.03	40
12	fg3_m12	1	1.81	2	70.81	0.04	0.05	20.23	0.47	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.85	45
13	fg3_m12	1	1.81	2	71.63	0.04	0.05	21.68	0.5	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.98	50
14	fg3_m12	1	1.81	2	71.38	0.04	0.05	24.54	0.54	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.77	60
15	fg3_m12	1	1.81	2	71.69	0.04	0.05	26.88	0.57	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-0.67	70
16	fg3_m12	1	1.81	2	71.69	0.04	0.05	27.7	0.58	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.06	80
17	fg3_m12	1	1.81	2	71.69	0.04	0.05	28.13	0.59	0.34	15.51	26.25	1.09	0.21	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	0.27	89
