Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random	inclination
0	fg3_m12_iso1_rotated	1	0.05	2	88.73	0.02	0.04	9.35	0.81	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	1.39	0
1	fg3_m12_iso1_rotated	1	0.05	2	85.49	0.01	0.06	0.56	0.09	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-2.0	3
2	fg3_m12_iso1_rotated	1	0.05	2	77.87	0.03	0.06	1.37	0.11	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.23	4
3	fg3_m12_iso1_rotated	1	0.05	2	88.87	0.02	0.07	0.93	0.14	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-0.2	5
4	fg3_m12_iso1_rotated	1	0.05	2	88.69	0.02	0.05	1.09	0.17	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.08	6
5	fg3_m12_iso1_rotated	1	0.05	2	89.22	0.02	0.06	1.2	0.19	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-0.54	7
6	fg3_m12_iso1_rotated	1	0.05	2	89.09	0.02	0.05	1.43	0.22	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.1	8
7	fg3_m12_iso1_rotated	1	0.05	2	88.97	0.02	0.05	1.64	0.25	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.09	9
8	fg3_m12_iso1_rotated	1	0.05	2	88.71	0.02	0.05	1.78	0.27	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.14	10
9	fg3_m12_iso1_rotated	1	0.05	2	88.79	0.02	0.05	3.46	0.48	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-0.73	20
10	fg3_m12_iso1_rotated	1	0.05	2	88.97	0.02	0.04	5.07	0.61	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.29	30
11	fg3_m12_iso1_rotated	1	0.05	2	89.01	0.02	0.04	6.56	0.7	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-0.03	40
12	fg3_m12_iso1_rotated	1	0.05	2	88.9	0.02	0.04	7.17	0.73	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-1.2	45
13	fg3_m12_iso1_rotated	1	0.05	2	88.58	0.02	0.04	7.78	0.76	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-0.9	50
14	fg3_m12_iso1_rotated	1	0.05	2	88.9	0.02	0.04	8.79	0.79	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.65	60
15	fg3_m12_iso1_rotated	1	0.05	2	88.73	0.02	0.04	9.55	0.81	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	0.38	70
16	fg3_m12_iso1_rotated	1	0.05	2	88.73	0.02	0.04	10.01	0.82	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-1.37	80
17	fg3_m12_iso1_rotated	1	0.05	2	88.86	0.02	0.05	10.16	0.83	0.51	9.02	23.29	0.43	0.48	1742	19.21	-4.53	98.74	-0.0	-1.04	51.39	20.01	0.22	0.07	0.0	0.22	-1.17	89
