Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5077105641499303	-1.7646757781918778	2.772479197890319	-0.05449785664675129	-0.011837741942736972	0.8771	0.0532530197282919
1	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5171722149906305	-1.7835164726214119	2.7472845822302414	-0.06231976037513706	-0.0010371940094872653	0.8863	0.06074380629177231
2	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.48724718085726976	-1.7660478701907343	2.712719983384524	-0.0355367397807988	0.001926477516291158	0.9034	0.06652081597570048
3	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.53284904448734	-1.7844304367816255	2.7812190022234304	-0.05037325685874546	-0.007127030974282616	0.8784	0.11441350805342133
4	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.5176864425339508	-1.7664326344550108	2.7751731394158186	-0.0556170082282611	-0.006700641309099107	0.9046	0.10051537516454462
5	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.4845788107098648	-1.748929764230647	2.752992757765815	-0.011728646784485949	-0.0009044992481109816	0.9046	0.11553181416881801
6	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5227750758588082	-1.7775030540988666	2.75528419894865	-0.04497457650356087	-0.016937070647231517	0.8961	0.08658237599287033
7	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5325255415996922	-1.75540797827791	2.8221950863474854	-0.05249041512832359	-0.011658364425454948	0.9998	0.13219403358719142
8	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.513202571549986	-1.739160830645069	2.7852531752656615	-0.001897558051390925	0.0027438880166231784	0.8394	0.06991278057951468
9	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	1	1	0	0	0.49646749914192434	-1.7464496213061476	2.7880306022252066	-0.05631925775014722	-0.007132070378256049	0.8318	0.04034632139413705
10	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	1	1	0	0	0.47479086586196917	-1.7228853935139894	2.7564421960127454	-0.02199059998157076	0.0026352755040367406	0.8301	0.10351651921586347
11	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5254489825320009	-1.750835124794376	2.8094788608486825	-0.027090019995616596	0.00394200745419197	0.8413	0.05465999854849421
12	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	1	1	0	0	0.518205918760294	-1.7584195108763527	2.773693126376971	-0.024517167210240522	-0.002639387447112656	0.8564	0.06998898949166309
13	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	1	1	0	0	0.48453898853791333	-1.7309761652166058	2.8138294979744543	-0.030254846928268367	-0.003779594060709206	0.857	0.06090538758802454
14	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.5067230310019122	-1.7314448465254284	2.7662834334721293	-0.0076302894333424185	0.002014938444366471	0.8467	0.10093138568103896
15	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.519854634151549	-1.760917276930146	2.8637492868645635	-0.00016927696464625076	0.00430620904936507	0.9209	0.06746299575436014
16	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5326380451545345	-2.041380777074007	3.546417185493869	-0.04558980571423923	0.010134916177708628	1.7671	0.13900179645081695
17	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.5078784993768458	-1.7614793920384897	2.8054107261523265	-0.03702792861350899	-0.0019202290696926443	0.8449	0.058822233534114046
18	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	2	1	0	0	0.5102439710476263	-1.738481997421704	2.7856335505451426	-0.025758928534726062	-0.0015474133270754324	0.8315	0.06913454324800976
19	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	2	1	0	0	0.48243243042227146	-1.7676582734102744	2.7656013394382	-0.0422860533465167	-0.005023579304178502	0.8431	0.06618527665840349
20	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.5211943996866976	-1.7505089814796169	2.796571811837598	-0.03517989315309356	-0.0024387597804987316	0.8371	0.06676698970298188
21	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	2	1	0	0	0.517000877944492	-1.7146771367280609	2.7828622373415164	-0.03308170589381903	-0.0035272103988608196	0.8433	0.07346029033524552
22	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	2	1	0	0	0.4746861620244147	-1.741417463818585	2.811483850521976	-0.0227811322211885	-0.0011380299321819393	0.8663	0.07084674302469168
23	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	2	1	0	0	0.5053340215297493	-1.771357521155258	2.8226128485482773	0.005296343159038786	0.0078910392086568	0.8581	0.082284430644723
24	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.5232412025978119	-1.6333272135462993	2.783298459522505	-0.030557377777290257	0.009083957329274753	0.9037	0.10920089786102126
25	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.5309624484486375	-1.6816270991715485	2.980461688748079	-0.019225212917871385	0.015967316695359626	1.6472	0.08463084552023
