Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	0	1	0	0	0.5293423313748513	-1.922148322703887	3.0323266102019226	-0.054240695151168195	-0.023610200970766434	1.4846	0.08164960521769195
1	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	0	1	0	0	0.48889706752541795	-1.8822017465869225	2.8901587117157335	-0.012128429531253631	0.002549064869012544	1.333	0.07649611665540251
2	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	0	1	0	0	0.48245952226449595	-1.8172448797458094	2.891703429872429	0.04094572065348824	0.03339922737779034	1.1129	0.3128255775339246
3	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	0	1	0	0	0.5111820165304424	-1.867010206002666	2.8314604835750607	0.016835602605443162	0.046280810977846455	1.233	0.07922352398375301
4	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_200.fits	1	1.96	0	1	0	0	0.5363914196096703	-1.89795146109751	2.9306309368551737	0.05584600154431435	0.0026299067325328664	1.3687	0.14892060601175994
5	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	0	1	0	0	0.49924913811025146	-1.9074391816639331	2.899069483003103	0.001331950555067103	-0.007667830462102458	1.5004	0.11089061431640446
6	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_400.fits	1	3.91	0	1	0	0	0.5074133516178528	-1.9380518145420753	2.935088050059977	-0.07414507089877338	-0.04972409166121039	1.7533	0.14190073011215754
7	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_410.fits	1	4.01	0	1	0	0	0.5060184566049678	-1.945460306260843	2.970605338575808	-0.08788950283950696	-0.0809973759219821	1.7567	0.12221022056721183
8	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	1	1	0	0	0.5974937737071363	-1.6963473406364713	3.37249649990895	-0.004531144359397794	0.042355870986585865	0.6257	0.08736603729686829
9	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	1	1	0	0	0.593583614991611	-1.6797272451439764	3.2886095147525953	-0.028216712183970444	0.039494795059708196	0.6032	0.08385438048126073
10	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	1	1	0	0	0.5323961058041714	-1.7584208737622717	3.3470917757999534	-0.016565175721998036	0.07632845762620497	0.5753	0.16216112980537298
11	q0.1_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	1	1	0	0	0.5110055619152308	-1.6305747930111925	3.2674436677916012	-0.01974235718711718	0.050036656770129265	0.5871	0.10328829289857584
